split,origin,model,day,N,probability,label,eligible,current_active
inner_calibration,23644,original,2017-03-24,256,0.0,0,True,False
inner_calibration,23644,location_repair,2017-03-24,256,0.0,0,True,False
inner_calibration,23704,original,2017-03-24,256,0.0,0,True,False
inner_calibration,23704,location_repair,2017-03-24,256,0.0,0,True,False
inner_calibration,23764,original,2017-03-24,256,0.0,0,True,False
inner_calibration,23764,location_repair,2017-03-24,256,0.0,0,True,False
inner_calibration,23824,original,2017-03-24,256,0.1171875,0,True,False
inner_calibration,23824,location_repair,2017-03-24,256,0.203125,0,True,False
inner_calibration,23884,original,2017-03-24,256,0.0,0,True,False
inner_calibration,23884,location_repair,2017-03-24,256,0.0,0,True,False
inner_calibration,23944,original,2017-03-25,256,0.0,0,True,False
inner_calibration,23944,location_repair,2017-03-25,256,0.0,0,True,False
inner_calibration,24004,original,2017-03-25,256,0.0,0,True,False
inner_calibration,24004,location_repair,2017-03-25,256,0.0,0,True,False
inner_calibration,24064,original,2017-03-25,256,0.01171875,0,True,False
inner_calibration,24064,location_repair,2017-03-25,256,0.01171875,0,True,False
inner_calibration,24124,original,2017-03-25,256,0.0,0,True,False
inner_calibration,24124,location_repair,2017-03-25,256,0.0,0,True,False
inner_calibration,24184,original,2017-03-26,256,0.0,0,True,False
inner_calibration,24184,location_repair,2017-03-26,256,0.0,0,True,False
inner_calibration,24244,original,2017-03-26,256,0.0,0,True,False
inner_calibration,24244,location_repair,2017-03-26,256,0.0,0,True,False
inner_calibration,24304,original,2017-03-26,256,0.0,0,True,False
inner_calibration,24304,location_repair,2017-03-26,256,0.0,0,True,False
inner_calibration,24364,original,2017-03-26,256,0.015625,0,True,False
inner_calibration,24364,location_repair,2017-03-26,256,0.015625,0,True,False
inner_calibration,24424,original,2017-03-26,256,0.0,0,True,False
inner_calibration,24424,location_repair,2017-03-26,256,0.0,0,True,False
inner_calibration,24484,original,2017-03-27,256,0.0,0,True,False
inner_calibration,24484,location_repair,2017-03-27,256,0.0,0,True,False
inner_calibration,24544,original,2017-03-27,256,0.015625,0,True,False
inner_calibration,24544,location_repair,2017-03-27,256,0.015625,0,True,False
inner_calibration,24604,original,2017-03-27,256,0.0,0,True,False
inner_calibration,24604,location_repair,2017-03-27,256,0.0,0,True,False
inner_calibration,24664,original,2017-03-27,256,0.06640625,0,True,False
inner_calibration,24664,location_repair,2017-03-27,256,0.09375,0,True,False
inner_calibration,24724,original,2017-03-27,256,0.0,0,True,False
inner_calibration,24724,location_repair,2017-03-27,256,0.0,0,True,False
inner_calibration,24796,original,2017-03-28,256,0.0,0,True,False
inner_calibration,24796,location_repair,2017-03-28,256,0.0,0,True,False
inner_calibration,24856,original,2017-03-28,256,0.265625,1,True,True
inner_calibration,24856,location_repair,2017-03-28,256,0.58203125,1,True,True
inner_calibration,24916,original,2017-03-28,256,0.0,0,True,False
inner_calibration,24916,location_repair,2017-03-28,256,0.0,0,True,False
inner_calibration,24976,original,2017-03-28,256,0.3671875,0,True,True
inner_calibration,24976,location_repair,2017-03-28,256,0.52734375,0,True,True
inner_calibration,25036,original,2017-03-28,256,0.0,0,True,False
inner_calibration,25036,location_repair,2017-03-28,256,0.0,0,True,False
inner_calibration,25096,original,2017-03-29,256,0.0,0,True,False
inner_calibration,25096,location_repair,2017-03-29,256,0.0,0,True,False
inner_calibration,25156,original,2017-03-29,256,0.0078125,0,True,True
inner_calibration,25156,location_repair,2017-03-29,256,0.0390625,0,True,True
inner_calibration,25216,original,2017-03-29,256,0.0,0,True,False
inner_calibration,25216,location_repair,2017-03-29,256,0.0,0,True,False
inner_calibration,25276,original,2017-03-29,256,0.0,0,True,False
inner_calibration,25276,location_repair,2017-03-29,256,0.0,0,True,False
inner_calibration,25336,original,2017-03-30,256,0.0,0,True,False
inner_calibration,25336,location_repair,2017-03-30,256,0.0,0,True,False
inner_calibration,25396,original,2017-03-30,256,0.0,0,True,False
inner_calibration,25396,location_repair,2017-03-30,256,0.0,0,True,False
